week_start,digital_catchuptv_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-equity_spends,digital_directbuying_bledina_brand-equity_spends,digital_keywordtargeting_bledina_brand-equity_spends,digital_nativeads_bledina_brand-equity_spends,digital_programmatic_bledina_brand-equity_spends,digital_sea_bledina_brand-equity_spends,digital_social_bledina_brand-equity_spends,press_equity_bledina_brand-equity_spends,tv_equity_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-range_spends,digital_directbuying_bledina_brand-range_spends,digital_keywordtargeting_bledina_brand-range_spends,digital_programmatic_bledina_brand-range_spends,digital_sea_bledina_brand-range_spends,digital_social_bledina_brand-range_spends,press_product_bledina_brand-range_spends,app_total_bledina_brand_visits,crm_automatic_bledina_brand_emails,crm_event_bledina_brand_emails,website_total_bledina_brand_visits,competition_digital_competition-nestle_total_spends,competition_digital_competition-others_total_spends,competition_ooh_competition-nestle_total_spends,competition_ooh_competition-others_total_spends,competition_press_competition-nestle_total_spends,competition_press_competition-others_total_spends,competition_tv_competition-nestle_total_spends,competition_tv_competition-others_total_spends,macroeconomic_total_total_total_cci,macroeconomic_total_total_total_holiday,macroeconomic_total_total_total_livebirths,macroeconomic_total_total_total_lockdownflag,macroeconomic_total_total_total_population,macroeconomic_total_total_total_unemploymentrate,macroeconomic_total_total_total_weeklycases,macroeconomic_total_total_total_weeklydeath,digital_catchuptv_bledina_product_spends,digital_dataretailers_bledina_product_spends,digital_keywordtargeting_bledina_product_spends,digital_programmatic_bledina_product_spends,digital_social_bledina_product_spends,press_product_bledina_product_spends,tv_product_bledina_product_spends,promo_total_bledina_bledina_spends,retail_total_bledina_product_volume,retail_total_bledina_product_dvm,retail_total_bledina_product_price,competition_retail_competition_nonorganic_dvm,competition_retail_competition_nonorganic_price,Sales
02-01-2017,0.01,0,0.01,0,2367.4,0.06,16089.49,0.01,0,2369.39,0,0,0,0,0,0,0,0,21274,0,186007,0,10838.70968,0,225.8064516,0,32741.93548,354064.5161,447096.7742,100,0,60446,0,64639000,9.3,0,0,0,0,0,0,0,0,0,7238.542484,1159063.639,67.14297034,5.941144875,49.75230593,4.615064714,6886165
09-01-2017,0,0,0.01,0,2785.65,0.05,11618.44,10034.99,0,2470.6,0,0,0,0,0,0,0,0,41976,15539,141778,0,10838.70968,0,225.8064516,0,32741.93548,354064.5161,447096.7742,100,0,60446,0,64639000,9.3,0,0,0,0,0,0,0,0,0,20498.18823,970022.3907,63.11212344,6.057040597,45.13866376,4.613791861,5875465
16-01-2017,0,0,0.01,0,2708.31,0.08,10388.53,6955.56,0,2470.6,0,0,0,0.01,0,0,0,0,24593,0,130202,0,10838.70968,0,225.8064516,0,32741.93548,354064.5161,447096.7742,100,0,60446,0,64639000,9.3,0,0,0,0,0,0,0,0,0,104070.9121,1004450.341,64.28164638,5.871733782,50.75838907,4.523880432,5897865
23-01-2017,0,0,0,0,2473.94,0.08,9699.73,4630.01,0,2470.6,0,0,0,0.01,0,0,0,0,6784,0,111688,0,10838.70968,0,225.8064516,0,32741.93548,354064.5161,447096.7742,100,0,60446,0,64639000,9.3,0,0,0,0,0,0,0,0,0,67294.61693,901215.4172,63.69652982,6.026822107,51.561729,4.645751195,5431465
30-01-2017,0,0,0.01,0,618.99,0.01,6182.01,2911.88,0,2463.25,0,0,0,0,0,0,0,0,23766,0,81460,15357.14286,5953.917051,178.5714286,243.0875576,0,77390.553,381161.2903,274527.6498,100.7142857,0,56518.85714,0,64631857.14,9.3,0,0,0,0,0,0,0,0,0,46532.72978,923384.6802,64.75291375,5.953575057,51.45066751,4.707299062,5497440
06-02-2017,319.05,0,0.01,0,4.19,0.01,3034.42,605.48,0,1954.8,0,0,0,0,0,0,0,0,17831,207,60139,21500,4000,250,250,0,95250,392000,205500,101,0,54948,0,64629000,9.3,0,0,0,0,0,0,0,0,0,15133.54297,916427.9301,65.38455178,5.996805444,51.0228595,4.809912272,5495640
13-02-2017,569.36,0,0.01,0,5.41,0,3856.28,0,0,1954.8,0,0,0,0,0,0,0,0,43206,2,60315,21500,4000,250,250,0,95250,392000,205500,101,0,54948,0,64629000,9.3,0,0,0,0,0,0,0,0,0,11248.00542,835457.3712,64.00878915,6.005500906,50.17897517,4.779039231,5017340
20-02-2017,9025.68,0,142.3,0,2.03,22.43,4816.22,0,0,84603.24,0,0,0,0,0,0,0,0,49910,28929,72043,21500,4000,250,250,0,95250,392000,205500,101,0,54948,0,64629000,9.3,0,0,0,0,0,0,0,0,0,5399.594198,854991.478,63.87174546,5.991451531,51.10171722,4.724991702,5122640
27-02-2017,8005.92,0,2529.44,0,10.86,25.83,5907.24,0,9000,61599.48,0,0,0,0,0,0,0,0,28919,0,76102,124529.9539,10981.56682,232.718894,232.718894,0,101730.4147,238774.1935,354843.318,101,0,57610.85714,0,64629714.29,9.3,0,0,0,0,0,0,0,0,0,101883.623,1078376.426,64.51631397,5.842497898,53.94603254,4.764664144,6300412
06-03-2017,1026.42,0,857.08,0,0.35,0,3991.23,0,2500,2582.74,0,0,0,0,0,0,0,0,25931,0,56577,165741.9355,13774.19355,225.8064516,225.8064516,0,104322.5806,177483.871,414580.6452,101,0,58676,0,64630000,9.3,0,0,0,0,0,0,0,0,0,264798.8412,1281661.517,64.11987783,5.586273681,53.45630113,4.685891221,7159712
13-03-2017,9546.12,0,118.82,0,2128.64,220.45,5505.79,0,0,104625.69,0,0,0,0,0,0,0,0,29348,0,62286,165741.9355,13774.19355,225.8064516,225.8064516,0,104322.5806,177483.871,414580.6452,101,0,58676,0,64630000,9.3,0,0,0,0,0,0,0,0,0,58358.30304,865798.7417,63.68732451,6.000831082,51.11580424,4.791321673,5195512
20-03-2017,10549.83,0,677.72,0,3033.53,3519.68,3708.69,0,0,141746.59,0,0,0,0,0,0,0,0,28886,20453,61453,165741.9355,13774.19355,225.8064516,225.8064516,0,104322.5806,177483.871,414580.6452,101,0,58676,0,64630000,9.3,0,0,0,0,0,0,0,0,0,2869.845168,844936.5953,63.65552009,5.992534858,50.56547963,4.798518869,5063312
27-03-2017,8142.21,0,9300.43,0,2914.77,18928.29,3506.24,0,9000,192807.12,0,0,0,0,0,0,0,0,8568,450,54879,139053.7634,17772.04301,161.2903226,21561.29032,0,98582.7957,250840.8602,308062.3656,100.7142857,0,58252.85714,0,64631714.29,9.271428571,0,0,0,0,0,0,0,0,0,2418.870809,920174.621,65.45739832,5.987789572,51.87617373,4.7790854,5509812
03-04-2017,7899.47,0,17384.78,0,2834.34,22754.14,4155.89,0,10500,84304.4,0,0,0,0,0,0,0,0,32413,1719,60514,72333.33333,27766.66667,0,74900,0,84233.33333,434233.3333,41766.66667,100,0,57195,0,64636000,9.2,0,0,0,0,0,0,0,0,0,23026.38546,999024.6128,65.60943093,5.893078033,50.65515939,4.814158304,5887330
10-04-2017,7428.49,0,17145.13,0,2846.18,8331.12,5088.03,0,0,70002.64,0,0,0,0,0,0,0,0,54916,18353,56069,72333.33333,27766.66667,0,74900,0,84233.33333,434233.3333,41766.66667,100,0,57195,0,64636000,9.2,0,0,0,0,0,0,0,0,0,11789.0503,911497.7459,65.41133173,5.955066838,50.17816912,4.839290016,5428030
17-04-2017,7891.39,0,17246.06,0,2788.78,9315.87,5127.34,0,0,365.28,0,0,0,0,0,0,0,0,32644,4654,55213,72333.33333,27766.66667,0,74900,0,84233.33333,434233.3333,41766.66667,100,1,57195,0,64636000,9.2,0,0,0,0,0,0,0,0,0,73355.4437,885830.9618,65.797297,5.981874904,48.45130988,4.764465897,5298930
24-04-2017,7707.23,0,12175.5,0,2770.82,11579.46,5003.66,0,4650,3472.8,0,0,0,0,0,0,0,0,32394,3126,52285,72333.33333,27766.66667,0,74900,0,84233.33333,434233.3333,41766.66667,100,0,57195,0,64636000,9.2,0,0,0,0,0,0,0,0,0,17808.0807,935522.7547,64.59855597,5.927092603,48.00250237,4.797175797,5544930
01-05-2017,7403.25,0,8220.86,0,2741.71,10087.32,4384.55,0,18000,162625.22,0,0,0,0,0,0,0,0,31680,0,50412,88290.32258,9032.258065,0,225.8064516,0,81516.12903,204806.4516,12870.96774,102,1,62091,0,64644000,9.2,0,0,0,0,0,0,0,0,0,49194.37594,990616.4689,65.34027195,5.779837788,49.52915353,4.7802906,5725602.5
08-05-2017,6690.02,0,9413.43,0,2766.15,5790.86,4381.68,0,2500,134940.57,0,0,0,0,0,0,0,0,26400,16714,47103,88290.32258,9032.258065,0,225.8064516,0,81516.12903,204806.4516,12870.96774,102,1,62091,0,64644000,9.2,0,0,0,0,0,0,0,0,0,27491.23418,877567.2233,64.80546686,5.907698422,49.33001716,4.848633016,5184402.5
15-05-2017,657.58,0,7289.31,0,2740.7,3336.48,4641.91,0.01,7550,111983.42,0,0,0,0,0,0,0,0,38453,3089,47660,88290.32258,9032.258065,0,225.8064516,0,81516.12903,204806.4516,12870.96774,102,0,62091,0,64644000,9.2,0,0,0,0,0,0,0,0,0,45059.82484,861689.7927,63.36726683,5.9028232,48.35386386,4.959743564,5086402.5
22-05-2017,444.54,0.05,5674.47,0,2756.55,2794.47,3364.62,0,0,96277.97,0,0,0,0,0,0,0,0,56026,45804,40196,88290.32258,9032.258065,0,225.8064516,0,81516.12903,204806.4516,12870.96774,102,1,62091,0,64644000,9.2,0,0,0,0,0,0,0,0,0,56119.94132,856845.5068,63.48784318,5.940980561,49.66444605,4.926733764,5090502.5
29-05-2017,502.69,5162.79,2435.48,0,2732.15,419.43,4918.45,0.01,33340.27,2091.1,0,0,0,0,0,0,0,0,14023,634,49088,39038.70968,9337.634409,0,15830.10753,0,99468.8172,190707.5269,12582.7957,105.4285714,0,60859,0,64650857.14,9.2,0,0,0,0,0,0,0,0,0,29297.61898,986836.7443,65.70346463,5.930510831,51.31200071,4.835482483,5852446
05-06-2017,451.11,3691.03,2591.29,0,2883.75,455.28,4977.2,0,0,2091.1,0,0.01,0,0,0,0,0,0,31635,0,52800,2100,9566.666667,0,27533.33333,0,112933.3333,180133.3333,12366.66667,108,1,59935,0,64656000,9.2,0,0,518.97,0,0,0.08,0,0,0,15480.19956,979764.2164,65.72405897,6.013738715,52.13700241,4.90965664,5892046
12-06-2017,237.08,9.31,4379.67,0,2725.2,405.03,4593.65,0,0,2091.1,0,0,0,0,0,0,0,0,57181,18649,52376,2100,9566.666667,0,27533.33333,0,112933.3333,180133.3333,12366.66667,108,0,59935,0,64656000,9.2,0,0,1070.4,0,0,191.41,0,0,0,68015.7796,985888.9815,60.64057114,5.997983658,51.15091562,4.913566459,5913346
19-06-2017,159.28,7.15,2159.59,0,1553.17,427.86,4227.63,0,5000,2091.1,0,0,0,0,0,0,0,0,31013,0,62372,2100,9566.666667,0,27533.33333,0,112933.3333,180133.3333,12366.66667,108,0,59935,0,64656000,9.2,0,0,1036.26,0,0,188.67,0,0,0,75680.75689,882691.7671,60.88919062,6.007811784,49.27102114,4.823702177,5303046
26-06-2017,111.18,11583.74,772.81,0,15679.22,4057.8,4610.6,0,0,0,0,0,0,0,0,0,0,0,34981,28013,66442,3370.967742,11994.62366,0,27473.11828,0,97247.31183,276537.6344,58639.78495,106.8571429,0,61430.71429,0,64659714.29,9.2,0,0,1050.8,0,0,185.52,0,0,67777.33,5175.385461,921760.0874,63.75474422,6.041860649,50.37807519,4.795251617,5569146
03-07-2017,0,0,0,0,0,0,4383.95,0,13650,0,0,0,0,0,0,0,0,0,93414,55320,60736,6548.387097,18064.51613,0,27322.58065,0,58032.25806,517548.3871,174322.5806,104,0,65170,0,64669000,9.2,0,0,0,13404.354,0,0.016709034,0,0,61222.62,17417.95689,1017516.209,62.92453325,5.995123171,50.37211135,4.834990956,6100135
10-07-2017,0,0,0,0,0,0,4434.13,0,2500,0,0,0,0,0,0,0,0,0,78512,33774,57838,6548.387097,18064.51613,0,27322.58065,0,58032.25806,517548.3871,174322.5806,104,1,65170,0,64669000,9.2,0,0,513.9078748,6006.834429,0,501.8928568,274.4668775,0,78005.96,17015.66165,926544.7507,62.99155073,6.02370797,50.93179831,4.894821353,5581235
17-07-2017,0,0,0,0,0,0,4228.34,0,0,0,0,0,0,0,0,0,0,0,104528,50811,75935,6548.387097,18064.51613,0,27322.58065,0,58032.25806,517548.3871,174322.5806,104,0,65170,0,64669000,9.2,0,0,3692.128207,4825.348126,0,11870.87845,1210.573259,0,49513.2,12320.57081,890552.8855,62.65050825,5.998110934,49.59426243,4.870853581,5341635
24-07-2017,0,0,0,0,0,0,3995.46,0,0,0,0,0,0,0,0,0,0,0,42057,8250,82916,6548.387097,18064.51613,0,27322.58065,0,58032.25806,517548.3871,174322.5806,104,0,65170,0,64669000,9.2,0,0,13926.54237,6606.656023,0,39637.23804,424.876348,0,34108.7,15218.44773,913956.7521,63.49357175,6.021110941,50.93575284,4.916346647,5503035
31-07-2017,0,0,0,0,0,0,3823.48,0,0,71917.06,0,0,0,0,0,0,0,0,70379,30898,100342,935.483871,11677.41935,0,27322.58065,0,43322.58065,330967.7419,62838.70968,103.1428571,0,64727.71429,0,64683571.43,9.2,0,0,19214.87338,5661.938308,0,20515.27865,932.8630504,0,0,2603.242604,994347.0418,65.14998656,5.976572817,52.43124134,4.930451771,5942787.5
07-08-2017,0,0,0,0,0,0,3876.39,0,0,75929.55,0,0,0,0,0,0,0,0,18070,0,89876,0,10612.90323,0,27322.58065,0,40870.96774,299870.9677,44258.06452,103,0,64654,0,64686000,9.2,0,0,11173.70464,5370.99443,0,20119.48572,1059.758372,0,0,1490.806706,919912.175,64.27818148,6.017626085,51.3387615,4.905706481,5535687.5
14-08-2017,0,0,0,0,0,0,4002.6,0,0,68629.54,0,0,0,0,0,0,0,0,114953,29284,94523,0,10612.90323,0,27322.58065,0,40870.96774,299870.9677,44258.06452,103,1,64654,0,64686000,9.2,0,0,978.665377,5507.261661,0,27455.46709,7.297494527,0,0,1585.39645,895685.4684,63.06755304,5.979763755,50.25000823,4.887978347,5355987.5
21-08-2017,0,0,0,0,0,0,5418.27,0,0,79172.71,0,0,0,0,0,0,0,0,13331,0,76439,0,10612.90323,0,27322.58065,0,40870.96774,299870.9677,44258.06452,103,0,64654,0,64686000,9.2,0,0,0.143901672,8695.277621,0,16869.40613,0.405416363,0,0,20921.61939,880077.9606,62.14790645,5.925369948,49.82962196,4.870300091,5214787.5
