week_start,Bledina total TV spends,Bledina total press spends,Bledina total catchuptv spends,Bledina total data retailer spends,Bledina total programmatic spends,Bledina total social spends,Bledina total direct spends,Bledina total promo spends,Competition retail non-organic dvm,Competition retail non-organic price,Nestle Total Spends,Holiday flags,Lockdown flag,Retail total Bledina product dvm,Sales
02-01-2017,2369.39,0,0.01,0,0.06,0.01,0.01,7238.542484,49.75230593,4.615064714,354064.5161,0,0,67.14297034,6886165
09-01-2017,2470.6,0,0,0,0.05,10034.99,0.01,20498.18823,45.13866376,4.613791861,354064.5161,0,0,63.11212344,5875465
16-01-2017,2470.6,0,0,0,0.09,6955.56,0.01,104070.9121,50.75838907,4.523880432,354064.5161,0,0,64.28164638,5897865
23-01-2017,2470.6,0,0,0,0.09,4630.01,0,67294.61693,51.561729,4.645751195,354064.5161,0,0,63.69652982,5431465
30-01-2017,2463.25,0,0,0,0.01,2911.88,0.01,46532.72978,51.45066751,4.707299062,396697.0046,0,0,64.75291375,5497440
06-02-2017,1954.8,0,319.05,0,0.01,605.48,0.01,15133.54297,51.0228595,4.809912272,413750,0,0,65.38455178,5495640
13-02-2017,1954.8,0,569.36,0,0,0,0.01,11248.00542,50.17897517,4.779039231,413750,0,0,64.00878915,5017340
20-02-2017,84603.24,0,9025.68,0,22.43,0,142.3,5399.594198,51.10171722,4.724991702,413750,0,0,63.87174546,5122640
27-02-2017,61599.48,9000,8005.92,0,25.83,0,2529.44,101883.623,53.94603254,4.764664144,363536.8664,0,0,64.51631397,6300412
06-03-2017,2582.74,2500,1026.42,0,0,0,857.08,264798.8412,53.45630113,4.685891221,343451.6129,0,0,64.11987783,7159712
13-03-2017,104625.69,0,9546.12,0,220.45,0,118.82,58358.30304,51.11580424,4.791321673,343451.6129,0,0,63.68732451,5195512
20-03-2017,141746.59,0,10549.83,0,3519.68,0,677.72,2869.845168,50.56547963,4.798518869,343451.6129,0,0,63.65552009,5063312
27-03-2017,192807.12,9000,8142.21,0,18928.29,0,9300.43,2418.870809,51.87617373,4.7790854,390055.914,0,0,65.45739832,5509812
03-04-2017,84304.4,10500,7899.47,0,22754.14,0,17384.78,23026.38546,50.65515939,4.814158304,506566.6667,0,0,65.60943093,5887330
10-04-2017,70002.64,0,7428.49,0,8331.12,0,17145.13,11789.0503,50.17816912,4.839290016,506566.6667,0,0,65.41133173,5428030
17-04-2017,365.28,0,7891.39,0,9315.87,0,17246.06,73355.4437,48.45130988,4.764465897,506566.6667,1,0,65.797297,5298930
24-04-2017,3472.8,4650,7707.23,0,11579.46,0,12175.5,17808.0807,48.00250237,4.797175797,506566.6667,0,0,64.59855597,5544930
01-05-2017,162625.22,18000,7403.25,0,10087.32,0,8220.86,49194.37594,49.52915353,4.7802906,293096.7742,1,0,65.34027195,5725602.5
08-05-2017,134940.57,2500,6690.02,0,5790.86,0,9413.43,27491.23418,49.33001716,4.848633016,293096.7742,1,0,64.80546686,5184402.5
15-05-2017,111983.42,7550,657.58,0,3336.48,0.01,7289.31,45059.82484,48.35386386,4.959743564,293096.7742,0,0,63.36726683,5086402.5
22-05-2017,96277.97,0,444.54,0.05,2794.47,0,5674.47,56119.94132,49.66444605,4.926733764,293096.7742,1,0,63.48784318,5090502.5
29-05-2017,2091.1,33340.27,502.69,5162.79,419.43,0.01,2435.48,29297.61898,51.31200071,4.835482483,229746.2366,0,0,65.70346463,5852446
